Date,Value,Anomaly,State
201601,19.8,4.8,South Dakota
201602,31.2,11.3,South Dakota
201603,40.1,9.3,South Dakota
201604,46.3,1.6,South Dakota
201605,56.7,0.7,South Dakota
201606,70.7,5,South Dakota
201607,73,0.4,South Dakota
201608,71,0.5,South Dakota
201609,62.4,2.2,South Dakota
201610,51.6,3.8,South Dakota
201611,42,10.3,South Dakota
201612,15.4,-4.3,South Dakota
201701,16.5,1.5,South Dakota
201702,29.4,9.5,South Dakota
201703,35.5,4.7,South Dakota
201704,46.1,1.4,South Dakota
201705,56,0,South Dakota
201706,68.1,2.4,South Dakota
201707,76,3.4,South Dakota
201708,67.4,-3.1,South Dakota
201709,61.8,1.6,South Dakota
201710,48,0.2,South Dakota
201711,34.7,3,South Dakota
201712,21.7,2,South Dakota
201801,18.1,3.1,South Dakota
201802,11.6,-8.3,South Dakota
201803,30.4,-0.4,South Dakota
201804,36.7,-8,South Dakota
201805,62.1,6.1,South Dakota
201806,69.3,3.6,South Dakota
201807,72.2,-0.4,South Dakota
201808,69.9,-0.6,South Dakota
201809,61.5,1.3,South Dakota
201810,43.2,-4.6,South Dakota
201811,29.3,-2.4,South Dakota
201812,25.3,5.6,South Dakota
201901,18,3,South Dakota
201902,6.1,-13.8,South Dakota
201903,25.1,-5.7,South Dakota
201904,44.2,-0.5,South Dakota
201905,50.4,-5.6,South Dakota
201906,66.3,0.6,South Dakota
201907,72.1,-0.5,South Dakota
201908,68.2,-2.3,South Dakota
201909,63.1,2.9,South Dakota
201910,40.2,-7.6,South Dakota
201911,31.1,-0.6,South Dakota
201912,23.3,3.6,South Dakota
202001,20.1,5.1,South Dakota
202002,23.5,3.6,South Dakota
202003,36.4,5.6,South Dakota
202004,42,-2.7,South Dakota
202005,54.2,-1.8,South Dakota
202006,70.3,4.6,South Dakota
202007,73.5,0.9,South Dakota
202008,72.6,2.1,South Dakota
202009,60.4,0.2,South Dakota
202010,41.2,-6.6,South Dakota
202011,38.6,6.9,South Dakota
202012,28.3,8.6,South Dakota
202101,26.5,11.5,South Dakota
202102,12.8,-7.1,South Dakota
202103,39.4,8.6,South Dakota
202104,43.6,-1.1,South Dakota
202105,55,-1,South Dakota
202106,72.2,6.5,South Dakota
202107,75.3,2.7,South Dakota
202108,72.5,2,South Dakota
202109,65,4.8,South Dakota
202110,51.2,3.4,South Dakota
202111,38.2,6.5,South Dakota
202112,24.6,4.9,South Dakota
