Date,Value,Anomaly,State
201601,41.8,1.1,Arizona
201602,50.6,5.9,Arizona
201603,54.9,5.4,Arizona
201604,58.5,1.8,Arizona
201605,64.6,-0.4,Arizona
201606,80.3,5.9,Arizona
201607,82.4,2.7,Arizona
201608,77.5,-0.3,Arizona
201609,71.6,-0.4,Arizona
201610,66.1,5.1,Arizona
201611,53.1,3.9,Arizona
201612,44.7,3.2,Arizona
201701,42.3,1.6,Arizona
201702,49.4,4.7,Arizona
201703,56.6,7.1,Arizona
201704,59.9,3.2,Arizona
201705,66.1,1.1,Arizona
201706,79.8,5.4,Arizona
201707,81.5,1.8,Arizona
201708,79.1,1.3,Arizona
201709,72.4,0.4,Arizona
201710,65.1,4.1,Arizona
201711,57.6,8.4,Arizona
201712,46.6,5.1,Arizona
201801,47.6,6.9,Arizona
201802,46.7,2,Arizona
201803,52.3,2.8,Arizona
201804,62.9,6.2,Arizona
201805,68.5,3.5,Arizona
201806,78.6,4.2,Arizona
201807,82.3,2.6,Arizona
201808,80.2,2.4,Arizona
201809,76,4,Arizona
201810,59.9,-1.1,Arizona
201811,49.4,0.2,Arizona
201812,42.8,1.3,Arizona
201901,42.4,1.7,Arizona
201902,40.9,-3.8,Arizona
201903,51.7,2.2,Arizona
201904,60.3,3.6,Arizona
201905,60.7,-4.3,Arizona
201906,75.2,0.8,Arizona
201907,81.9,2.2,Arizona
201908,81.9,4.1,Arizona
201909,73.8,1.8,Arizona
201910,60,-1,Arizona
201911,52.1,2.9,Arizona
201912,42.2,0.7,Arizona
202001,43.7,3,Arizona
202002,45.9,1.2,Arizona
202003,51,1.5,Arizona
202004,59.3,2.6,Arizona
202005,70.5,5.5,Arizona
202006,76.8,2.4,Arizona
202007,82.8,3.1,Arizona
202008,84.1,6.3,Arizona
202009,75.6,3.6,Arizona
202010,66.2,5.2,Arizona
202011,53.5,4.3,Arizona
202012,42,0.5,Arizona
202101,42.7,2,Arizona
202102,46.4,1.7,Arizona
202103,49.6,0.1,Arizona
202104,61.2,4.5,Arizona
202105,68,3,Arizona
202106,80.7,6.3,Arizona
202107,81.4,1.7,Arizona
202108,79.5,1.7,Arizona
202109,74.7,2.7,Arizona
202110,59.9,-1.1,Arizona
202111,55.7,6.5,Arizona
202112,45.4,3.9,Arizona
