value,anomaly,month,year,state
32.1,-0.3,01,2016,MD
36.9,3.1,02,2016,MD
49.4,6.9,03,2016,MD
53.1,1.0,04,2016,MD
60.9,-1.4,05,2016,MD
72.2,1.6,06,2016,MD
78.4,3.3,07,2016,MD
78.0,4.8,08,2016,MD
71.5,4.5,09,2016,MD
59.4,3.6,10,2016,MD
47.7,2.9,11,2016,MD
38.0,2.7,12,2016,MD
38.3,5.9,01,2017,MD
43.7,9.9,02,2017,MD
43.1,0.6,03,2017,MD
59.5,7.4,04,2017,MD
62.2,-0.1,05,2017,MD
72.6,2.0,06,2017,MD
77.4,2.3,07,2017,MD
72.8,-0.4,08,2017,MD
68.3,1.3,09,2017,MD
61.2,5.4,10,2017,MD
45.8,1.0,11,2017,MD
35.3,0.0,12,2017,MD
31.0,-1.4,01,2018,MD
41.6,7.8,02,2018,MD
39.3,-3.2,03,2018,MD
50.7,-1.4,04,2018,MD
68.8,6.5,05,2018,MD
72.1,1.5,06,2018,MD
76.2,1.1,07,2018,MD
77.1,3.9,08,2018,MD
72.7,5.7,09,2018,MD
59.0,3.2,10,2018,MD
43.4,-1.4,11,2018,MD
39.2,3.9,12,2018,MD
34.0,1.6,01,2019,MD
37.6,3.8,02,2019,MD
42.1,-0.4,03,2019,MD
57.8,5.7,04,2019,MD
67.3,5.0,05,2019,MD
72.5,1.9,06,2019,MD
78.6,3.5,07,2019,MD
75.6,2.4,08,2019,MD
71.4,4.4,09,2019,MD
60.3,4.5,10,2019,MD
42.6,-2.2,11,2019,MD
38.9,3.6,12,2019,MD
39.1,6.7,01,2020,MD
41.0,7.2,02,2020,MD
49.3,6.8,03,2020,MD
51.6,-0.5,04,2020,MD
60.5,-1.8,05,2020,MD
72.7,2.1,06,2020,MD
80.1,5.0,07,2020,MD
76.6,3.4,08,2020,MD
67.3,0.3,09,2020,MD
59.0,3.2,10,2020,MD
50.9,6.1,11,2020,MD
38.3,3.0,12,2020,MD
35.4,3.0,01,2021,MD
34.4,0.6,02,2021,MD
47.3,4.8,03,2021,MD
55.0,2.9,04,2021,MD
62.3,0.0,05,2021,MD
73.2,2.6,06,2021,MD
77.2,2.1,07,2021,MD
77.2,4.0,08,2021,MD
69.6,2.6,09,2021,MD
63.0,7.2,10,2021,MD
44.5,-0.3,11,2021,MD
43.8,8.5,12,2021,MD
25.4,0.1,01,2016,PA
30.7,4.2,02,2016,PA
43.3,7.5,03,2016,PA
47.0,0.2,04,2016,PA
57.4,-0.2,05,2016,PA
67.4,1.4,06,2016,PA
73.0,2.6,07,2016,PA
73.4,5.0,08,2016,PA
66.2,4.5,09,2016,PA
53.6,3.0,10,2016,PA
42.6,3.3,11,2016,PA
31.2,2.3,12,2016,PA
31.8,6.5,01,2017,PA
36.6,10.1,02,2017,PA
35.3,-0.5,03,2017,PA
53.7,6.9,04,2017,PA
57.1,-0.5,05,2017,PA
66.8,0.8,06,2017,PA
71.4,1.0,07,2017,PA
67.4,-1.0,08,2017,PA
63.8,2.1,09,2017,PA
56.2,5.6,10,2017,PA
39.2,-0.1,11,2017,PA
28.0,-0.9,12,2017,PA
23.1,-2.2,01,2018,PA
34.3,7.8,02,2018,PA
33.0,-2.8,03,2018,PA
43.2,-3.6,04,2018,PA
64.0,6.4,05,2018,PA
66.6,0.6,06,2018,PA
71.6,1.2,07,2018,PA
72.1,3.7,08,2018,PA
66.7,5.0,09,2018,PA
52.3,1.7,10,2018,PA
36.7,-2.6,11,2018,PA
33.5,4.6,12,2018,PA
25.8,0.5,01,2019,PA
30.2,3.7,02,2019,PA
34.7,-1.1,03,2019,PA
50.5,3.7,04,2019,PA
60.7,3.1,05,2019,PA
65.8,-0.2,06,2019,PA
73.2,2.8,07,2019,PA
69.6,1.2,08,2019,PA
65.1,3.4,09,2019,PA
53.7,3.1,10,2019,PA
36.5,-2.8,11,2019,PA
32.6,3.7,12,2019,PA
32.2,6.9,01,2020,PA
33.3,6.8,02,2020,PA
42.5,6.7,03,2020,PA
45.1,-1.7,04,2020,PA
56.0,-1.6,05,2020,PA
67.2,1.2,06,2020,PA
74.9,4.5,07,2020,PA
71.6,3.2,08,2020,PA
62.1,0.4,09,2020,PA
52.2,1.6,10,2020,PA
44.8,5.5,11,2020,PA
32.1,3.2,12,2020,PA
29.4,4.1,01,2021,PA
26.6,0.1,02,2021,PA
40.9,5.1,03,2021,PA
49.4,2.6,04,2021,PA
57.0,-0.6,05,2021,PA
68.7,2.7,06,2021,PA
71.2,0.8,07,2021,PA
72.6,4.2,08,2021,PA
64.4,2.7,09,2021,PA
57.8,7.2,10,2021,PA
39.1,-0.2,11,2021,PA
37.7,8.8,12,2021,PA
46.4,1.0,01,2016,TX
54.4,5.0,02,2016,TX
61.2,4.9,03,2016,TX
66.1,1.3,04,2016,TX
71.6,-0.9,05,2016,TX
80.1,0.5,06,2016,TX
85.4,3.1,07,2016,TX
81.5,-0.4,08,2016,TX
77.6,1.7,09,2016,TX
70.9,4.8,10,2016,TX
61.0,6.4,11,2016,TX
49.6,2.7,12,2016,TX
50.8,5.4,01,2017,TX
58.4,9.0,02,2017,TX
63.6,7.3,03,2017,TX
67.1,2.3,04,2017,TX
72.0,-0.5,05,2017,TX
80.6,1.0,06,2017,TX
83.6,1.3,07,2017,TX
80.6,-1.3,08,2017,TX
76.5,0.6,09,2017,TX
66.5,0.4,10,2017,TX
60.3,5.7,11,2017,TX
47.8,0.9,12,2017,TX
43.8,-1.6,01,2018,TX
52.3,2.9,02,2018,TX
61.7,5.4,03,2018,TX
63.0,-1.8,04,2018,TX
78.0,5.5,05,2018,TX
83.9,4.3,06,2018,TX
84.5,2.2,07,2018,TX
83.0,1.1,08,2018,TX
76.2,0.3,09,2018,TX
65.4,-0.7,10,2018,TX
51.9,-2.7,11,2018,TX
48.3,1.4,12,2018,TX
47.2,1.8,01,2019,TX
51.9,2.5,02,2019,TX
55.7,-0.6,03,2019,TX
65.0,0.2,04,2019,TX
72.5,0.0,05,2019,TX
79.1,-0.5,06,2019,TX
82.8,0.5,07,2019,TX
85.9,4.0,08,2019,TX
81.5,5.6,09,2019,TX
65.2,-0.9,10,2019,TX
53.2,-1.4,11,2019,TX
50.7,3.8,12,2019,TX
50.7,5.3,01,2020,TX
49.4,0.0,02,2020,TX
63.2,6.9,03,2020,TX
65.1,0.3,04,2020,TX
74.6,2.1,05,2020,TX
