Date,Value,Anomaly,State
201601,39.5,0.2,Arkanas
201602,46.9,3.8,Arkanas
201603,55.5,4.2,Arkanas
201604,62.5,2,Arkanas
201605,67.2,-1.5,Arkanas
201606,78.9,2.4,Arkanas
201607,82,1.7,Arkanas
201608,80,0.7,Arkanas
201609,75.8,3,Arkanas
201610,67,5.2,Arkanas
201611,55.7,5.8,Arkanas
201612,42.5,1,Arkanas
201701,45.2,5.9,Arkanas
201702,52.5,9.4,Arkanas
201703,55.7,4.4,Arkanas
201704,64.2,3.7,Arkanas
201705,67.7,-1,Arkanas
201706,75.5,-1,Arkanas
201707,80.6,0.3,Arkanas
201708,76.9,-2.4,Arkanas
201709,73.2,0.4,Arkanas
201710,62.9,1.1,Arkanas
201711,53.7,3.8,Arkanas
201712,42.4,0.9,Arkanas
201801,35.7,-3.6,Arkanas
201802,45.9,2.8,Arkanas
201803,53.9,2.6,Arkanas
201804,55.2,-5.3,Arkanas
201805,75,6.3,Arkanas
201806,80.1,3.6,Arkanas
201807,81.8,1.5,Arkanas
201808,78.8,-0.5,Arkanas
201809,75,2.2,Arkanas
201810,62.6,0.8,Arkanas
201811,45.8,-4.1,Arkanas
201812,44.2,2.7,Arkanas
201901,40.8,1.5,Arkanas
201902,46,2.9,Arkanas
201903,48.9,-2.4,Arkanas
201904,60.8,0.3,Arkanas
201905,70.6,1.9,Arkanas
201906,75.6,-0.9,Arkanas
201907,79,-1.3,Arkanas
201908,80.3,1,Arkanas
201909,79.7,6.9,Arkanas
201910,60.8,-1,Arkanas
201911,46.4,-3.5,Arkanas
201912,45.7,4.2,Arkanas
202001,43.9,4.6,Arkanas
202002,44.5,1.4,Arkanas
202003,56.5,5.2,Arkanas
202004,58.8,-1.7,Arkanas
202005,66.8,-1.9,Arkanas
202006,76.4,-0.1,Arkanas
202007,81.3,1,Arkanas
202008,77.8,-1.5,Arkanas
202009,71.8,-1,Arkanas
202010,59.4,-2.4,Arkanas
202011,54,4.1,Arkanas
202012,42.6,1.1,Arkanas
202101,41.3,2,Arkanas
202102,34.8,-8.3,Arkanas
202103,55.2,3.9,Arkanas
202104,58.3,-2.2,Arkanas
202105,66.7,-2,Arkanas
202106,76.8,0.3,Arkanas
202107,79.3,-1,Arkanas
202108,80.6,1.3,Arkanas
202109,74.2,1.4,Arkanas
202110,65.4,3.6,Arkanas
202111,49.3,-0.6,Arkanas
202112,53.3,11.8,Arkanas
