NAME,POPESTIMATE2020,POPESTIMATE2021
United States,331501080,331893745
Northeast Region,57525633,57159838
Midwest Region,68935174,68841444
South Region,126409007,127225329
West Region,78631266,78667134
Alabama,5024803,5039877
Alaska,732441,732673
Arizona,7177986,7276316
Arkansas,3012232,3025891
California,39499738,39237836
Colorado,5784308,5812069
Connecticut,3600260,3605597
Delaware,991886,1003384
District of Columbia,690093,670050
Florida,21569932,21781128
Georgia,10725800,10799566
Hawaii,1451911,1441553
Idaho,1847772,1900923
Illinois,12785245,12671469
Indiana,6785644,6805985
Iowa,3188669,3193079
Kansas,2935880,2934582
Kentucky,4503958,4509394
Louisiana,4651203,4624047
Maine,1362280,1372247
Maryland,6172679,6165129
Massachusetts,7022220,6984723
Michigan,10067664,10050811
Minnesota,5707165,5707390
Mississippi,2956870,2949965
Missouri,6154481,6168187
Montana,1086193,1104271
Nebraska,1961455,1963692
Nevada,3114071,3143991
New Hampshire,1377848,1388992
New Jersey,9279743,9267130
New Mexico,2117566,2115877
New York,20154933,19835913
North Carolina,10457177,10551162
North Dakota,778962,774948
Ohio,11790587,11780017
Oklahoma,3962031,3986639
Oregon,4241544,4246155
Pennsylvania,12989625,12964056
Rhode Island,1096229,1095610
South Carolina,5130729,5190705
South Dakota,887099,895376
Tennessee,6920119,6975218
Texas,29217653,29527941
Utah,3281684,3337975
Vermont,642495,645570
Virginia,8632044,8642274
Washington,7718785,7738692
West Virginia,1789798,1782959
Wisconsin,5892323,5895908
Wyoming,577267,578803
